																		S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S	S
	date	dataset	dataset	dataset		dataset	date	date						percentage	percentage	percentage	percentage	dataset	currency	currency	percentage	currency	currency	percentage	currency	number	currency	currency	dataset	currency	currency	percentage	currency	currency	percentage	currency	number	currency	currency		currency	number	percentage	currency	currency		currency	number	percentage	currency	currency	dataset	currency	number	currency		currency	percentage	number	currency	currency			date	date	percentage	currency			number	percentage	currency
	fullDate	Usuarios|colleagueId|solicitante|solicitanteNome=colleagueName	Clientes|codigo|cliente|clienteNome=razaoSocial	Executivos|codigo|executivo|executivoNome=nome		TiposAcao|tipoAcaoCodigo|tipoAcao|tipoAcaoDescricao=displaykey	fullDate	fullDate						2	2	2	2	Itens|codigo|itemSellout_item|itemSellout_itemDescricao=descricao,itemSellout_categoria=categoria,itemSellout_ccusto=ccusto	R$	R$	2	R$	R$	2	R$	2	R$	R$	Itens|codigo|itemSellinIt_item|itemSellinIt_itemDescricao=descricao,itemSellinIt_categoria=categoria,itemSellinIt_ccusto=ccusto	R$	R$	2	R$	R$	2	R$	2	R$	R$		R$	2	2	R$	R$		R$	2	2	R$	R$	Itens|codigo|itemSpiffIt_item|itemSpiffIt_itemDescricao=descricao,itemSpiffIt_categoria=categoria,itemSpiffIt_ccusto=ccusto	R$	2	R$		R$	2	2	R$	R$			fullDate	fullDate	2	R$			2	2	R$
numControle	dataAbertura	solicitanteCodigo	clienteCodigo	executivoCodigo	nomeAcao	tipoAcaoCodigo	inicioAcao	terminoAcao	tipoQuantidade	tipoSellin	tipoSpiff	tipoVpc	descricaoDetalhada	rateio_perc___1	rateio_perc___2	rateio_perc___3	rateio_perc___4	itemSellout_itemCodigo	itemSellout_srpInicial	itemSellout_netInicial	itemSellout_gpInicial	itemSellout_srpSugerido	itemSellout_netSugerido	itemSellout_gpSugerido	itemSellout_rebateUnit	itemSellout_qtde	itemSellout_rebateTotal	itemSellout_dolar	itemSellinIt_itemCodigo	itemSellinIt_srpInicial	itemSellinIt_netInicial	itemSellinIt_gpInicial	itemSellinIt_srpSugerido	itemSellinIt_netSugerido	itemSellinIt_gpSugerido	itemSellinIt_rebateUnit	itemSellinIt_qtde	itemSellinIt_rebateTotal	itemSellinIt_dolar	itemSellinTg_descricao	itemSellinTg_target	itemSellinTg_qtde	itemSellinTg_perc	itemSellinTg_vlTarget	itemSellinTg_vlTotal	itemSellinTgAc_descricao	itemSellinTgAc_target	itemSellinTgAc_qtde	itemSellinTgAc_perc	itemSellinTgAc_vlTarget	itemSellinTgAc_vlTotal	itemSpiffIt_itemCodigo	itemSpiffIt_spiffUnit	itemSpiffIt_qtde	itemSpiffIt_vlTotal	itemSpiffTg_foco	itemSpiffTg_target	itemSpiffTg_perc	itemSpiffTg_qtde	itemSpiffTg_vlUnit	itemSpiffTg_vlTotal	itemVpcEvt_nomeEvento	itemVpcEvt_finalidade	itemVpcEvt_inicio	itemVpcEvt_termino	itemVpcEvt_perc	itemVpcEvt_vlTotal	itemVpcOutros_tipo	itemVpcOutros_finalidade	itemVpcOutros_qtde	itemVpcOutros_perc	itemVpcOutros_vlTotal
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					HLL2360DW							195.96	30	5878.8	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					DCPL2540DW							91.88	120	11025.6	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					MFCL2720DW							79.55	10	795.5	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					HLL5102DW							70.36	40	2814.4	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					DCPL5652DN							158.71	15	2380.65	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					DCPB7520DW							154.53	30	4635.9	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					DCPT710W							59.13	15	886.95	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					HLT4000DW							225.15	15	3377.25	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					DCPL3551CDW							284.00	35	9940.00	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					MFCJ6545DW							179.59	15	2693.85	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					PT80							8.55	400	3420.00	5.2																																												
2020.635	04/05/2020	rugeda	192	8	REBATE - KALUNGA - REDUÇÃO SRP MAIO/20	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP MAIO/20					QL800							41.7	60	2502.00	5.2																																												
2020.637	04/05/2020	rugeda	364	5	REBATE - QL - REDIÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP - MAIO/20 - LIMITADO AO ESTOQUE ATUAL QL800-20 / QL810 - 6			1		QL800							42.11	4	168.44	5.2																																												
2020.637	04/05/2020	rugeda	364	5	REBATE - QL - REDIÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP - MAIO/20 - LIMITADO AO ESTOQUE ATUAL QL800-20 / QL810 - 6					QL810W							25.26	4	101.04	5.2																																												
2020.640	04/05/2020	rugeda	373	8	REBATE - QL - REDIÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP - MAIO/20 - LIMITADO AO ESTOQUE ATUAL QL800-238/QL810-77			1		QL800							42.11	10	421.1	5.2																																												
2020.640	04/05/2020	rugeda	373	8	REBATE - QL - REDIÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP - MAIO/20 - LIMITADO AO ESTOQUE ATUAL QL800-238/QL810-77					QL810W							15.2	4	60.8	5.2																																												
2020.645	04/05/2020	rugeda	4401	6	REBATE - QL - REDIÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP - MAIO/20 - LIMITADO AO ESTOQUE ATUAL QL800-32			1		QL800							35.38	5	176.9	5.2																																												
2020.647	04/05/2020	rugeda	4473	5	REBATE - QL - REDIÇÃO SRP	sellout	01/05/2020	31/05/2020	estimada				REBATE - REDUÇÃO SRP - MAIO/20 - LIMITADO AO ESTOQUE ATUAL  QL810 -79			1		QL810W							25.26	5	126.3	5.2																																												
2020.672	05/05/2020	rugeda	152	9	REBATE - AÇÃO P&H COSTURA CE550DV - MAIO/20	sellout	06/05/2020	31/05/2020	estimada				REBATE SELL-OUT - REDUÇÃO DE SRP DE 1779 PARA 1320  - LIMITADO AO ESTOQUE/QTDE INFORMADA				1	CE5500DV							201.99	5	1009.95	5.2																																												
2020.690	08/05/2020	rugeda	5543	9	REBATE - P&H REDUÇÃO SPR - MAIO/20	sellout	09/05/2020	31/05/2020	estimada				REBATE SELL-OUT - PGTO. MEDIANTE COMPROVAÇÃO DE SELL-OUT -REDUÇÃO SRP - SDX225/BM2800/BP1430				1	SDX225V							348.62	2	697.24	5.2																																												
