No. Controle;Total da Verba;Solicitação;Status;Erros
2.020.449;R$ 600,00;3793;Solicitação criada com sucesso;
2.020.453;R$ 900,00;3794;Solicitação criada com sucesso;
2.020.461;R$ 60,00;3795;Solicitação criada com sucesso;
2.020.462;R$ 900,00;3797;Solicitação criada com sucesso;
2.020.463;R$ 318,00;3796;Solicitação criada com sucesso;
2.020.467;R$ 1.200,00;3798;Solicitação criada com sucesso;
2.020.480;R$ 43.400,00;3799;Solicitação criada com sucesso;
2.020.545;R$ 450,00;3800;Solicitação criada com sucesso;
2.020.546;R$ 450,00;3802;Solicitação criada com sucesso;
2.020.547;R$ 450,00;3801;Solicitação criada com sucesso;
2.020.548;R$ 1.500,00;3803;Solicitação criada com sucesso;
2.020.549;R$ 150,00;3804;Solicitação criada com sucesso;
2.020.550;R$ 3.000,00;3806;Solicitação criada com sucesso;
2.020.582;R$ 1.000,00;3805;Solicitação criada com sucesso;
2.020.595;R$ 1.200,00;3807;Solicitação criada com sucesso;
2.020.609;R$ 4.520,00;3808;Solicitação criada com sucesso;
2.020.386;R$ 7.000,00;3809;Solicitação criada com sucesso;
MKT666_2019;R$ 1.200,00;3810;Solicitação criada com sucesso;
MKT738_2019;R$ 8.400,00;3811;Solicitação criada com sucesso;
MKT428_2019;R$ 3.000,00;3812;Solicitação criada com sucesso;
MKT668_2019;R$ 6.000,00;3813;Solicitação criada com sucesso;
MKT814_2019;R$ 7.000,00;3814;Solicitação criada com sucesso;
2.020.177;R$ 14.000,00;3815;Solicitação criada com sucesso;
2.020.339;R$ 20.000,00;3816;Solicitação criada com sucesso;
2.020.340;R$ 20.000,00;3817;Solicitação criada com sucesso;
2.020.341;R$ 20.000,00;3818;Solicitação criada com sucesso;
2.020.342;R$ 20.000,00;3819;Solicitação criada com sucesso;
2.020.343;R$ 20.000,00;3820;Solicitação criada com sucesso;
2.020.344;R$ 20.000,00;3821;Solicitação criada com sucesso;
2.020.345;R$ 20.000,00;3822;Solicitação criada com sucesso;
2.020.346;R$ 20.000,00;3823;Solicitação criada com sucesso;
2.020.347;R$ 20.000,00;3825;Solicitação criada com sucesso;
2.020.348;R$ 20.000,00;3824;Solicitação criada com sucesso;
2.020.349;R$ 20.000,00;3826;Solicitação criada com sucesso;
2.020.350;R$ 20.000,00;3827;Solicitação criada com sucesso;
2.020.352;R$ 7.000,00;3828;Solicitação criada com sucesso;
2.020.353;R$ 7.000,00;3829;Solicitação criada com sucesso;
2.020.354;R$ 7.000,00;3830;Solicitação criada com sucesso;
2.020.355;R$ 7.000,00;3831;Solicitação criada com sucesso;
2.020.356;R$ 7.000,00;3832;Solicitação criada com sucesso;
2.020.357;R$ 7.000,00;3833;Solicitação criada com sucesso;
2.020.358;R$ 7.000,00;3834;Solicitação criada com sucesso;
2.020.359;R$ 7.000,00;3835;Solicitação criada com sucesso;
2.020.360;R$ 7.000,00;3836;Solicitação criada com sucesso;
2.020.361;R$ 7.000,00;3837;Solicitação criada com sucesso;
2.020.362;R$ 7.000,00;3838;Solicitação criada com sucesso;
2.020.365;R$ 7.000,00;3839;Solicitação criada com sucesso;
2.020.560;R$ 300,00;3840;Solicitação criada com sucesso;
2.020.610;R$ 15.000,00;3841;Solicitação criada com sucesso;
